part_id,target_fname,cond,practice,trial_id,response
part01,a_dg12_CV.wav,high,False,27,D
part01,a_dg09_CV.wav,low,False,28,D
part01,a_dg10_CV.wav,high,False,29,D
part01,a_dg11_CV.wav,low,False,30,D
part01,a_dg16_CV.wav,high,False,31,G
part01,a_dg15_CV.wav,low,False,32,D
part01,a_dg13_CV.wav,low,False,33,D
part01,a_dg14_CV.wav,low,False,34,G
part01,a_dg15_CV.wav,high,False,35,G
part01,a_dg15_CV.wav,high,False,36,G
part01,a_dg16_CV.wav,low,False,37,G
part01,a_dg09_CV.wav,low,False,38,D
part01,a_dg11_CV.wav,high,False,39,D
part01,a_dg12_CV.wav,low,False,40,D
part01,a_dg12_CV.wav,high,False,41,D
part01,a_dg13_CV.wav,low,False,42,D
part01,a_dg09_CV.wav,low,False,43,D
part01,a_dg12_CV.wav,low,False,44,D
part01,a_dg11_CV.wav,high,False,45,D
part01,a_dg09_CV.wav,low,False,46,D
part01,a_dg09_CV.wav,high,False,47,D
part01,a_dg15_CV.wav,high,False,48,G
part01,a_dg13_CV.wav,high,False,49,G
part01,a_dg11_CV.wav,low,False,50,D
part01,a_dg12_CV.wav,low,False,51,D
part01,a_dg13_CV.wav,low,False,52,D
part01,a_dg10_CV.wav,low,False,53,D
part01,a_dg10_CV.wav,high,False,54,D
part01,a_dg12_CV.wav,high,False,55,D
part01,a_dg15_CV.wav,low,False,56,D
part01,a_dg13_CV.wav,high,False,57,D
part01,a_dg10_CV.wav,high,False,58,D
part01,a_dg15_CV.wav,low,False,59,G
part01,a_dg16_CV.wav,high,False,60,G
part01,a_dg14_CV.wav,high,False,61,G
part01,a_dg16_CV.wav,high,False,62,G
part01,a_dg11_CV.wav,high,False,63,D
part01,a_dg13_CV.wav,low,False,64,G
part01,a_dg12_CV.wav,low,False,65,D
part01,a_dg11_CV.wav,high,False,66,D
part01,a_dg14_CV.wav,high,False,67,G
part01,a_dg15_CV.wav,high,False,68,G
part01,a_dg14_CV.wav,low,False,69,G
part01,a_dg10_CV.wav,high,False,70,D
part01,a_dg13_CV.wav,low,False,71,D
part01,a_dg12_CV.wav,low,False,72,D
part01,a_dg09_CV.wav,high,False,73,D
part01,a_dg12_CV.wav,low,False,74,D
part01,a_dg10_CV.wav,high,False,75,D
part01,a_dg15_CV.wav,high,False,76,G
part01,a_dg11_CV.wav,low,False,77,D
part01,a_dg09_CV.wav,high,False,78,D
part01,a_dg12_CV.wav,high,False,79,D
part01,a_dg15_CV.wav,low,False,80,G
part01,a_dg13_CV.wav,high,False,81,G
part01,a_dg09_CV.wav,high,False,82,D
part01,a_dg10_CV.wav,low,False,83,D
part01,a_dg14_CV.wav,low,False,84,D
part01,a_dg16_CV.wav,low,False,85,G
part01,a_dg14_CV.wav,low,False,86,G
part01,a_dg15_CV.wav,low,False,87,G
part01,a_dg14_CV.wav,high,False,88,G
part01,a_dg09_CV.wav,high,False,89,D
part01,a_dg12_CV.wav,low,False,90,D
part01,a_dg13_CV.wav,high,False,91,D
part01,a_dg15_CV.wav,high,False,92,G
part01,a_dg12_CV.wav,high,False,93,G
part01,a_dg16_CV.wav,low,False,94,G
part01,a_dg13_CV.wav,low,False,95,D
part01,a_dg14_CV.wav,high,False,96,G
part01,a_dg15_CV.wav,low,False,97,G
part01,a_dg09_CV.wav,low,False,98,D
part01,a_dg11_CV.wav,low,False,99,D
part01,a_dg10_CV.wav,high,False,100,D
part01,a_dg09_CV.wav,high,False,101,D
part01,a_dg09_CV.wav,low,False,102,D
part01,a_dg14_CV.wav,low,False,103,D
part01,a_dg09_CV.wav,low,False,104,D
part01,a_dg15_CV.wav,low,False,105,D
part01,a_dg15_CV.wav,high,False,106,G
part01,a_dg11_CV.wav,high,False,107,D
part01,a_dg16_CV.wav,high,False,108,G
part01,a_dg11_CV.wav,low,False,109,D
part01,a_dg10_CV.wav,low,False,110,D
part01,a_dg09_CV.wav,high,False,111,D
part01,a_dg11_CV.wav,low,False,112,D
part01,a_dg13_CV.wav,high,False,113,D
part01,a_dg10_CV.wav,low,False,114,D
part01,a_dg11_CV.wav,high,False,115,D
part01,a_dg10_CV.wav,low,False,116,D
part01,a_dg09_CV.wav,high,False,117,D
part01,a_dg14_CV.wav,high,False,118,G
part01,a_dg13_CV.wav,low,False,119,D
part01,a_dg12_CV.wav,high,False,120,G
part01,a_dg15_CV.wav,low,False,121,G
part01,a_dg16_CV.wav,high,False,122,G
part01,a_dg12_CV.wav,high,False,123,D
part01,a_dg15_CV.wav,high,False,124,G
part01,a_dg13_CV.wav,low,False,125,G
part01,a_dg16_CV.wav,high,False,126,G
part01,a_dg16_CV.wav,low,False,127,G
part01,a_dg14_CV.wav,high,False,128,G
part01,a_dg14_CV.wav,high,False,129,G
part01,a_dg10_CV.wav,high,False,130,G
part01,a_dg14_CV.wav,low,False,131,G
part01,a_dg14_CV.wav,low,False,132,G
part01,a_dg09_CV.wav,low,False,133,D
part01,a_dg14_CV.wav,high,False,134,G
part01,a_dg13_CV.wav,high,False,135,G
part01,a_dg10_CV.wav,high,False,136,D
part01,a_dg11_CV.wav,high,False,137,D
part01,a_dg11_CV.wav,high,False,138,G
part01,a_dg10_CV.wav,low,False,139,D
part01,a_dg15_CV.wav,high,False,140,G
part01,a_dg16_CV.wav,low,False,141,G
part01,a_dg10_CV.wav,high,False,142,D
part01,a_dg13_CV.wav,low,False,143,D
part01,a_dg13_CV.wav,high,False,144,G
part01,a_dg13_CV.wav,high,False,145,G
part01,a_dg16_CV.wav,high,False,146,G
part01,a_dg16_CV.wav,low,False,147,G
part01,a_dg16_CV.wav,low,False,148,G
part01,a_dg16_CV.wav,high,False,149,G
part01,a_dg13_CV.wav,low,False,150,G
part01,a_dg11_CV.wav,low,False,151,G
part01,a_dg16_CV.wav,high,False,152,G
part01,a_dg15_CV.wav,low,False,153,G
part01,a_dg13_CV.wav,high,False,154,G
part01,a_dg12_CV.wav,high,False,155,G
part01,a_dg10_CV.wav,high,False,156,D
part01,a_dg11_CV.wav,high,False,157,D
part01,a_dg12_CV.wav,high,False,158,G
part01,a_dg14_CV.wav,high,False,159,G
