stim_fname,target_fname,condition
./combined_stims/mturk/wav/list3_dg16_136_highmid.wav,a_dg16_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg09_137_highmid.wav,a_dg09_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg10_138_highmid.wav,a_dg10_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg11_139_highmid.wav,a_dg11_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg12_140_highmid.wav,a_dg12_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg13_141_highmid.wav,a_dg13_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg14_142_highmid.wav,a_dg14_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg15_143_highmid.wav,a_dg15_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg16_144_highmid.wav,a_dg16_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg09_145_highmid.wav,a_dg09_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg10_146_highmid.wav,a_dg10_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg11_147_highmid.wav,a_dg11_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg12_148_highmid.wav,a_dg12_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg13_149_highmid.wav,a_dg13_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg14_150_highmid.wav,a_dg14_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg15_151_highmid.wav,a_dg15_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg16_152_highmid.wav,a_dg16_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg09_153_highmid.wav,a_dg09_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg10_154_highmid.wav,a_dg10_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg11_155_highmid.wav,a_dg11_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg12_156_highmid.wav,a_dg12_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg13_157_highmid.wav,a_dg13_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg14_158_highmid.wav,a_dg14_CV.wav,highmid
